Unknown
Wild Fire
Insect Disturbance
Slashburn following clearcut
Clearcut harvesting with salvage
Fire with salvage logging
Insects with salvage logging
Deforestation
Afforestation
Natural non-forest rehabilitation
Partial cutting
Natural Succession
Aspen Defoliators - Type F
Aspen Defoliators - Type E
Aspen Defoliators - Type D
Aspen Defoliators - Type C
Aspen Defoliators - Type B
Aspen Defoliators - Type A
Deforestation-oil and gas-salvage and decay
Deforestation-peat extraction-salvage and burn 
Deforestation-peat extraction-salvage and decay
Deforestation-recreational-salvage and burn 
Deforestation-recreational-salvage and decay
Deforestation-urban-salvage and burn 
Deforestation-urban-salvage and decay
Deforestation-urban - flooded-salvage and burn 
Deforestation-urban - flooded-salvage and decay
generic 5% mortality
generic 10% mortality
generic 15% mortality
generic 20% mortality
generic 25% mortality
generic 30% mortality
generic 35% mortality
generic 40% mortality
generic 45% mortality
generic 50% mortality
generic 55% mortality
generic 60% mortality
generic 65% mortality
generic 70% mortality
generic 75% mortality
generic 80% mortality
generic 85% mortality
generic 90% mortality
generic 95% mortality
25% Commercial thinning
30% Commercial thinning
35% Commercial thinning
40% Commercial thinning
45% Commercial thinning
50% Commercial thinning
55% Commercial thinning
60% Commercial thinning
65% Commercial thinning
70% Commercial thinning
75% Commercial thinning
94% clearcut
97% clearcut
85% precommercial thinning
roads and landings
planting
Stand Replacing Natural Succession
20% Commercial thinning
15% Commercial thinning
10% Commercial thinning
Clearcut harvesting without salvage
Deforestation-agriculture-Salvage uprooting and decay
Deforestation-agriculture-Salvage uprooting and burn
Deforestation-forestry-Salvage uprooting and decay
Deforestation-forestry-Salvage uprooting and burn
Deforestation-hydro reservoir-burn
Deforestation-industry-Salvage uprooting and decay
Deforestation-industry-Salvage uprooting and burn
Deforestation-oil and gas-Salvage uprooting and decay
Deforestation-oil and gas-Salvage uprooting and burn
Deforestation-peat extraction-Uprooting and decay
Deforestation-peat extraction-Uprooting and burn
Deforestation-recreational-Salvage uprooting and decay
Deforestation-recreational-Salvage uprooting and burn
Deforestation-urban-Salvage uprooting and decay
Deforestation-urban-Salvage uprooting and burn
Deforestation-urban - flooded-Salvage uprooting and decay
Deforestation-urban - flooded-Salvage uprooting and burn
Natural Succession - Stand mortality
Deforestation-mining-Salvage uprooting and decay
Deforestation-mining-Salvage uprooting and burn
Deforestation-municipal-Salvage uprooting and decay
Deforestation-municipal-Salvage uprooting and burn
Deforestation-peat mining-Uprooting and decay
Deforestation-peat mining-Uprooting and burn
Deforestation-recreation-salvage and burn
Deforestation-recreation-salvage and decay
Deforestation-recreation-Salvage uprooting and decay
Deforestation-recreation-Salvage uprooting and burn
Deforestation-transportation-Salvage uprooting and decay
Deforestation-transportation-Salvage uprooting and burn
Deforestation-hydro reservoir - Salvage and burn
Firewood collection-SW
Firewood collection-HW
Firewood collection-post logging
Firewood collection-post natural disturbance
