coverType,fertility,relDensity,AIDBSPP,Age0,Age5,Age10,Age15,Age20,Age25,Age30,Age35,Age40,Age45,Age50,Age55,Age60,Age65,Age70,Age75,Age80,Age85,Age90,Age95,Age100,Age105,Age110,Age115,Age120,Age125,Age130,Age135,Age140,Age145,Age150
2,6,7,"Jack pine",0,0,0,0,0,0,9.4,15.8,23.2,31.1,39.1,46.9,54.5,61.7,68.5,74.8,80.6,86,91,95.5,99.7,103.6,107.1,110.4,113.4,116.2,118.7,121.1,123.3,125.3,127.2
2,6,8,"Jack pine",0,0,0,0,0,0,16.7,25.7,35.3,44.9,54.3,63.2,71.5,79.2,86.2,92.7,98.5,103.8,108.6,113,116.9,120.5,123.8,126.7,129.4,131.8,134.1,136.1,138,139.7,141.2
2,6,9,"Jack pine",0,0,0,0,0,0,65.6,81.2,95.3,107.7,118.5,127.9,136,142.9,148.9,154,158.4,162.1,165.3,168.1,170.4,172.4,174.1,175.5,176.8,177.8,178.7,179.4,180.1,180.6,181
2,7,1,"Jack pine",0,0,0,0,0,0,0.9,2.2,4.2,7,10.4,14.3,18.6,23.1,27.8,32.5,37.2,41.9,46.4,50.8,55.1,59.2,63.2,66.9,70.6,74,77.3,80.4,83.4,86.3,89
2,7,2,"Jack pine",0,0,0,0,0,0,1.8,4,7.1,11.1,15.7,20.8,26.2,31.6,37.2,42.6,47.9,53.1,58,62.8,67.3,71.6,75.7,79.6,83.3,86.8,90.1,93.2,96.1,98.9,101.6
2,7,3,"Jack pine",0,0,0,0,0,0,2.6,5.4,9.3,14,19.3,25.1,31,37,42.9,48.7,54.4,59.7,64.9,69.8,74.4,78.8,82.9,86.8,90.5,94,97.2,100.3,103.2,105.9,108.5
2,7,4,"Jack pine",0,0,0,0,0,0,3.6,7.2,11.8,17.3,23.4,29.8,36.3,42.7,49,55.2,61,66.6,71.9,76.9,81.6,86,90.1,94,97.6,101.1,104.3,107.3,110.1,112.8,115.3
2,7,5,"Jack pine",0,0,0,0,0,0,5,9.5,15,21.4,28.3,35.3,42.4,49.3,56,62.4,68.5,74.2,79.6,84.7,89.4,93.8,97.9,101.8,105.4,108.7,111.8,114.8,117.5,120.1,122.5
2,7,6,"Jack pine",0,0,0,0,0,0,7.2,12.8,19.5,27,34.7,42.6,50.2,57.7,64.7,71.4,77.7,83.6,89,94.1,98.8,103.2,107.2,111,114.5,117.7,120.7,123.5,126.1,128.6,130.9
2,7,7,"Jack pine",0,0,0,0,0,0,11.3,18.7,27.1,36,45,53.7,62.2,70.1,77.6,84.5,91,96.9,102.3,107.4,112,116.2,120.1,123.7,127,130,132.8,135.4,137.8,140,142.1
2,7,8,"Jack pine",0,0,0,0,0,0,20,30.3,41.1,51.9,62.4,72.2,81.4,89.9,97.6,104.6,111.1,116.9,122.1,126.9,131.2,135.1,138.6,141.9,144.8,147.5,149.9,152.1,154.2,156.1,157.8
2,7,9,"Jack pine",0,0,0,0,0,0,77,94.4,109.9,123.5,135.3,145.5,154.2,161.7,168,173.5,178.2,182.1,185.5,188.4,190.9,193,194.8,196.3,197.6,198.7,199.7,200.4,201.1,201.6,202.1
2,8,1,"Jack pine",0,0,0,0,0,0,1.1,2.6,4.9,8.1,11.9,16.3,21,26,31.2,36.4,41.6,46.7,51.7,56.5,61.2,65.6,70,74.1,78,81.8,85.4,88.9,92.1,95.3,98.3
2,8,2,"Jack pine",0,0,0,0,0,0,2.2,4.7,8.3,12.8,17.9,23.6,29.5,35.6,41.6,47.6,53.4,59.1,64.5,69.7,74.7,79.4,83.8,88.1,92.1,95.9,99.5,102.9,106.1,109.2,112.1
2,8,3,"Jack pine",0,0,0,0,0,0,3.1,6.4,10.8,16.1,22,28.4,35,41.6,48.1,54.5,60.6,66.5,72.1,77.4,82.5,87.3,91.8,96,100,103.8,107.4,110.7,113.9,116.9,119.7
2,8,4,"Jack pine",0,0,0,0,0,0,4.3,8.4,13.7,19.8,26.6,33.7,40.8,47.9,54.9,61.6,68,74.1,79.8,85.3,90.4,95.2,99.7,103.9,107.9,111.6,115.1,118.4,121.5,124.4,127.2
2,8,5,"Jack pine",0,0,0,0,0,0,6,11,17.3,24.5,32.1,39.9,47.7,55.3,62.6,69.6,76.3,82.5,88.4,93.9,99.1,103.9,108.3,112.5,116.4,120.1,123.5,126.7,129.7,132.5,135.1
2,8,6,"Jack pine",0,0,0,0,0,0,8.5,14.9,22.5,30.8,39.4,48,56.5,64.6,72.4,79.7,86.5,92.9,98.8,104.3,109.4,114.2,118.6,122.7,126.5,130,133.3,136.3,139.2,141.8,144.3
2,8,7,"Jack pine",0,0,0,0,0,0,13.3,21.7,31.1,41,50.9,60.6,69.8,78.5,86.7,94.2,101.2,107.6,113.5,119,124,128.6,132.8,136.7,140.2,143.5,146.6,149.4,152,154.4,156.7
2,8,8,"Jack pine",0,0,0,0,0,0,23.4,35,47,59,70.5,81.3,91.3,100.5,108.9,116.5,123.5,129.7,135.4,140.5,145.2,149.4,153.2,156.7,159.9,162.8,165.4,167.8,170,172.1,173.9
2,8,9,"Jack pine",0,0,0,0,0,0,88.8,108,124.9,139.6,152.3,163.1,172.4,180.3,187.1,192.8,197.7,201.9,205.5,208.5,211.1,213.3,215.1,216.7,218.1,219.2,220.2,221,221.6,222.2,222.7
